C000  4C F5 C5                                   A:0 X:0 Y:0 P:24 SP:FD PPU:  0, 21 CYC:7
C5F5  A2 0 86                                   A:0 X:0 Y:0 P:24 SP:FD PPU:  0, 21 CYC:7
C5F7  86 0 86                                   A:0 X:0 Y:0 P:26 SP:FD PPU:  0, 21 CYC:7
C5F9  86 10 86                                   A:0 X:0 Y:0 P:26 SP:FD PPU:  0, 21 CYC:7
C5FB  86 11 20                                   A:0 X:0 Y:0 P:26 SP:FD PPU:  0, 21 CYC:7
C5FD  20 2D C7                                   A:0 X:0 Y:0 P:26 SP:FD PPU:  0, 21 CYC:7
C72D  EA 38 B0                                   A:0 X:0 Y:0 P:26 SP:FB PPU:  0, 21 CYC:7
C72E  38 B0 4                                   A:0 X:0 Y:0 P:26 SP:FB PPU:  0, 21 CYC:7
C72F  B0 4 A2                                   A:0 X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:7
C735  EA 18 B0                                   A:0 X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:7
C736  18 B0 3                                   A:0 X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:7
C737  B0 3 4C                                   A:0 X:0 Y:0 P:26 SP:FB PPU:  0, 21 CYC:7
C739  4C 40 C7                                   A:0 X:0 Y:0 P:26 SP:FB PPU:  0, 21 CYC:7
C740  EA 38 90                                   A:0 X:0 Y:0 P:26 SP:FB PPU:  0, 21 CYC:7
C741  38 90 3                                   A:0 X:0 Y:0 P:26 SP:FB PPU:  0, 21 CYC:7
C742  90 3 4C                                   A:0 X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:7
C744  4C 4B C7                                   A:0 X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:7
C74B  EA 18 90                                   A:0 X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:7
C74C  18 90 4                                   A:0 X:0 Y:0 P:27 SP:FB PPU:  0, 21 CYC:7
C74D  90 4 A2                                   A:0 X:0 Y:0 P:26 SP:FB PPU:  0, 21 CYC:7
C753  EA A9 0                                   A:0 X:0 Y:0 P:26 SP:FB PPU:  0, 21 CYC:7
C754  A9 0 F0                                   A:0 X:0 Y:0 P:26 SP:FB PPU:  0, 21 CYC:7
C756  F0 4 A2                                   A:0 X:0 Y:0 P:26 SP:FB PPU:  0, 21 CYC:7
C75C  EA A9 40                                   A:0 X:0 Y:0 P:26 SP:FB PPU:  0, 21 CYC:7
C75D  A9 40 F0                                   A:0 X:0 Y:0 P:26 SP:FB PPU:  0, 21 CYC:7
C75F  F0 3 4C                                   A:40 X:0 Y:0 P:24 SP:FB PPU:  0, 21 CYC:7
C761  4C 68 C7                                   A:40 X:0 Y:0 P:24 SP:FB PPU:  0, 21 CYC:7
C768  EA A9 40                                   A:40 X:0 Y:0 P:24 SP:FB PPU:  0, 21 CYC:7
